question_id,question_number,subject,question_statement,correct_answer,exam_name,exam_year,exam_type,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e
unicamp_2021_q_63,63,Sociologia,"As feridas da discriminação racial se exibem ao mais superficial olhar sobre a realidade social do país. Até 1950, a discriminação em empregos era uma prática corrente, sancionada pelas práticas sociais do país. Em geral, os anúncios de vagas de trabalho eram publicados com a explícita advertência: “não se aceitam pessoas de cor.” Mesmo após a Lei Afonso Arinos, de 1951, proibindo categoricamente a discriminação racial, tudo continuou na mesma. Depois da lei, os anúncios se tornaram mais sofisticados que antes, e passaram a requerer: “pessoas de boa aparência”. Basta substituir “pessoas de boa aparência” por “branco” para se obter a verdadeira significação do eufemismo. (Adaptado de Abdias do Nascimento, O genocídio do negro brasileiro: processo de um racismo mascarado. São Paulo: Perspectiva, 2018, p. 97.) A partir do excerto, é correto afirmar:",a,unicamp_2021,2021,unicamp,"Apesar da Lei Afonso Arinos de 1951, o racismo que existia há muitos anos no mercado de trabalho brasileiro permaneceu por meio de estratégias camufladas.","A Lei Afonso Arinos de 1951 possibilitou a eliminação do racismo no mercado de trabalho do mundo da moda, que exigia a boa aparência das pessoas brancas.","Em 1951, o conceito de “pessoas de boa aparência”, ditado pelo mundo da moda e reproduzido nos anúncios de vagas de trabalho, privilegiava o asseio no vestir.","O racismo foi eliminado das relações sociais brasileiras somente na década de 1990, com a consolidação do conjunto de leis da democracia racial.",
unicamp_2023_q_1,1,Sociologia,"Texto 1
(MARZ, Marília. Folha de São Paulo, 4 jun. 2022, p. A2.)
Texto 2
Cracolândia vive 30 anos de eterno retorno
Repressão à droga não faz mais do que dispersar usuários; especialistas cobram articulação de políticas
Ela surgiu na Santa Efigênia, nos cruzamentos da rua dos Gusmões com as pequenas ruas dos Protestantes e do Triunfo, logo atrás da Estação Ferroviária da Luz, no centro de São Paulo. E há quase 30 anos, migra de um quarteirão para outro, em modo constante, se esparramando pelos bairros vizinhos.
A itinerância da maior cena aberta de uso de crack e outras drogas do país, batizada de cracolândia nos anos 1990, é fruto ora de um jogo de esconde-esconde, a partir do mando do crime organizado, ora do empurra-empurra das operações policiais que incidem sobre ela, onde quer que esteja.
(Adaptado de MENA, Fernanda, Cracolândia vive 30 anos de eterno retorno. Folha de São Paulo, 4 jun. 2022, p. B4.)
Indique a alternativa que apresenta palavras ou termos do Texto 2 diretamente relacionados a elementos representados na charge (Texto 1).",b,unicamp_2023,2023,unicamp,“articulação de políticas” e “esconde-esconde”,“empurra-empurra” e “eterno retorno”,“itinerância” e “crime organizado”,“repressão à droga” e “bairros vizinhos”,
unicamp_2017_q_34,34,Geografia,"Survey of geopolitics
Geopolitics is a product of its time, and its definitions have evolved accordingly. Rudolphh Kjellén, who coined the term in 1899, described geopolitics as ""the theory of the state as a geographical organism or phenomenon in space."" For Karl Haushofer, the father of German geopolotik, ""Geopolitics is the new national science of the state,(…) a doctrine on the spatial determinism of all political processes, based on the broad foundations of geography, especially of political geography"". On the eve of World War II, Derwent Whittlesey, the American political geographer, considered geopolitics ""a dogma*... the faith that the state is inherently entitled to its place in the sun"". Richard Hartshorne defined it as ""geography utilized for particular purposes that lie beyond the pursuit of scientific knowledge"". (Adaptado de Saul Bernard Cohen, Geopolitics of the world system. Boston: Rowman & Littlefield Publishers, 2003. p.11.) Conforme o texto,",a,unicamp_2017,2017,unicamp,"Kjellén e Haushofer possuem visão semelhante quanto à geopolítica, pois concordam que ela faz referência ao Estado.",Whittlesey concorda com seus antecessores ao afirmar que a geopolítica havia se transformado em um dogma.,Hartshorne concorda com Kjellén ao afirmar que a geopolítica mantém-se dentro dos parâmetros estritos de uma ciência.,"apesar dos posicionamentos distintos, os autores mencionados estão de acordo quanto aos fundamentos da geopolítica.",
enem_2017-2_q_92,92,Biologia,"A classificação biológica proposta por Whittaker permite distinguir cinco grandes linhas evolutivas utilizando, como critérios de classificação, a organização celular e o modo de nutrição. Woese e seus colaboradores, com base na comparação das sequências que codificam o RNA ribossômico dos seres vivos, estabeleceram relações de ancestralidade entre os grupos e concluíram que os procariontes do reino Monera não eram um grupo coeso do ponto de vista evolutivo.
Whittaker (1969)
Cinco reinos
Woese (1990)
Três domínios
Monera
Archaea
Eubacteria
Protista
Eukarya
Fungi
Plantae
Animalia
A diferença básica nas classificações citadas é que a mais recente se baseia fundamentalmente em",c,enem_2017-2,2017,enem,tipos de células.,aspectos ecológicos.,relações filogenéticas.,propriedades fisiológicas.,características morfológicas.
exams_pt-br_fuvest_2011_q_10,10,Física,"A seguinte declaração foi divulgada no jornal eletrônico FOLHA.com – mundo em 29/05/2010: “A vontade do Irã de enriquecer urânio a 20% em seu território nunca esteve sobre a mesa de negociações do acordo assinado por Brasil e Turquia com Teerã, afirmou nesta sexta-feira o ministro das Relações Exteriores brasileiro Celso Amorim”. Enriquecer urânio a 20%, como mencionado nessa notícia, significa",d,exams_pt-br_fuvest_2011,2011,fuvest,"aumentar, em 20%, as reservas conhecidas de urânio de um território.","aumentar, para 20%, a quantidade de átomos de urânio contidos em uma amostra de minério.","aumentar, para 20%, a quantidade de 238U presente em uma amostra de urânio.","aumentar, para 20%, a quantidade de 235U presente em uma amostra de urânio.","diminuir, para 20%, a quantidade de 238U presente em uma amostra de urânio."
exams_pt-br_fuvest_1989_q_8,8,Português,"Entre os excertos abaixo, assinale aquele em que o autor criou uma metáfora de 'vida'.",d,exams_pt-br_fuvest_1989,1989,fuvest,"... como também se decompõem os homens, acionistas e diretores, importadores e industriais...","... o leu espiritual, estendendo e juntando as mãos e os braços, como fazem os nadadores, que caem do alto, mergulhou por uma coluna abaixo.","... a realidade, onde as paixões aquecem, onde as flores vão perdendo a cor purpúrea e o vigor eterno.","... a tiavesslâ a vida é longa, o mar é agitado, o navio joga muito.","... o renêlo é a solidão, a vida retirada, em que a alma acha todo o seu sossego."
enem_2019-1_q_84,84,História,"A Declaração Universal dos Direitos Humanos, adotada e proclamada pela Assembleia Geral da ONU na Resolução 217-A, de 10 de dezembro de 1948, foi um acontecimento histórico de grande relevância. Ao afirmar, pela primeira vez em escala planetária, o papel dos direitos humanos na convivência coletiva, pode ser considerada um evento inaugural de uma nova concepção de vida internacional.
LAFER, C. Declaração Universal dos Direitos Humanos (1948). In: MAGNOLI, D. (Org.). História da paz. São Paulo: Contexto, 2008.
A declaração citada no texto introduziu uma nova concepção nas relações internacionais ao possibilitar a",b,enem_2019-1,2019,enem,superação da soberania estatal.,defesa dos grupos vulneráveis.,redução da truculência belicista.,impunidade dos atos criminosos.,inibição dos choques civilizacionais.
exams_pt-br_fuvest_2003_q_99,99,Biologia,"O cogumelo shitake é cultivado em troncos, onde suas hifas nutrem-se das moléculas orgânicas componentes da madeira. Uma pessoa, ao comer cogumelos shitake, está se comportando como",c,exams_pt-br_fuvest_2003,2003,fuvest,produtor.,consumidor primário.,consumidor secundário.,consumidor terciário.,decompositor.
exams_pt-br_fuvest_2018_q_60,60,História,"A imagem representa a morte de Atahualpa, o último imperador inca, em 1533, após a conquista espanhola comandada por Francisco Pizarro. Luis Montero. Os funerais do inca Atahualpa. Óleo sobre tela, 1865-1867.

Analise as quatro afirmações seguintes, a respeito da empresa e da conquista colonial espanhola no Peru e da representação presente na imagem.

I. A conquista foi favorecida pelo conflito interno entre os dois irmãos incas, Atahualpa e Huascar, aproveitado pelas forças espanholas lideradas por Francisco Pizarro.
II. A produção agrícola das plantations escravistas constituiu-se na base econômica do vice-reinado do Peru, controlado pelos espanhóis.
III. Do lado esquerdo da pintura, há uma movimentação conflituosa, na qual as mulheres incas são contidas por guardas espanhóis, contrastando com a expressão ordenada e solene do lado direito, composto por religiosos e autoridades espanholas em torno do corpo do imperador inca.
IV. A pintura revela o resgate de elementos históricos — importante para a construção do ideário nacionalista no século XIX, no processo pós-independência e de formação do Estado nacional peruano —, mas retrata os personagens indígenas com trajes e feições europeias.

Está correto apenas as afirmativas:",c,exams_pt-br_fuvest_2018,2018,fuvest,"I, II e III.","I, II e IV.","I, II, III e IV.",III e IV.,Nenhuma das alternativas.
unicamp_2025_q_26,26,História,"Em meados de fevereiro de 1765, Juana Antonia Gomiciaga, por intermédio do “procurador de pobres”, Diego Toribio de la Cueva, se apresentou ao Cabildo de Santiago. Ela confiava que o foro de justiça local pudesse dar solução ao seu pedido principal: obter o reconhecimento de sua liberdade, que, de acordo com sua versão, havia sido concedida verbalmente por sua senhora, Francisca Josefa Gomiciaga, em fevereiro de 1751. Nas palavras do procurador, a liberdade havia sido concedida devido à “piedade e compaixão”. Contudo, essa alforria verbal, ao longo do tempo, foi desconsiderada pelas senhoras de Juana, o que motivou a escrava Juana Antonia a recorrer à arena judicial. Tendo em vista seus conhecimentos sobre América espanhola e considerando as informações, presentes no excerto, sobre o caso de Juana Antônia Gomiciaga, assinale a alternativa correta.",d,unicamp_2025,2025,unicamp,"As ações judiciais resultaram em um questionamento da sociedade escravocrata; por conta delas, foi decretado o fim do sistema de escravidão africana no século XVIII.","A resistência à escravidão indígena era marcada pelo enfrentamento físico e, no caso da resistência africana à escravidão, predominava a postura passiva.","Embora houvesse demandas jurídicas dos escravizados, o Império era inflexível quanto a essas negociações na Justiça, como demonstrado no excerto.","Os estudos sobre a escravidão têm demonstrado que muitos escravizados, entre várias estratégias, articulavam a luta pela liberdade na Justiça.",
enem_2011-1_q_23,23,Filosofia,"O acidente nuclear de Chernobyl revela brutalmente os limites dos poderes técnico-científicos da humanidade e as “marchas-à-ré” que a “natureza” nos pode reservar. É evidente que uma gestão mais coletiva se impõe para orientar as ciências e as técnicas em direção a finalidades mais humanas.

GUATTARI, F. As três ecologias. São Paulo: Papirus, 1995 (adaptado).

O texto trata do aparato técnico-científico e suas consequências para a humanidade, propondo que esse desenvolvimento",a,enem_2011-1,2011,enem,defina seus projetos a partir dos interesses coletivos.,"guie-se por interesses econômicos, prescritos pela lógica do mercado.","priorize a evolução da tecnologia, se apropriando da natureza.",promova a separação entre natureza e sociedade tecnológica.,"tenha gestão própria, com o objetivo de melhor apropriação da natureza."
exams_pt-br_fuvest_1991_q_45,45,Português,"""Bota o retrato do velho outra vez
Bota no mesmo lugar
o sorriso do velho
íez d nle se ê jí, oi
Eu lá boto oń
E tu não vais botar?
Já er faz isto no meu
! tu vais efeitar?
O sorriso do uelhinho
iãz a gente Raura1har""

(Incroio do Lago, de Marino Pinto e Haroldo Lobo)

Esse samba, muito popular na época, foi utilizado como instrumento de propaganda pelo movimento político que visava o retorno do seu Líder. Esse movimento é secular.",d,exams_pt-br_fuvest_1991,1991,fuvest,Jacob Luís e Floriano Peirôto,Ilonar Luisro c D. Pedro II,Jasion e journio ouadros,Auercis-no e Ceúllião Vargas,Tetreísno c Luis Carlos Prestes
enem_2013-1_q_65,65,Física,"Uma manifestação comum das torcidas em estádios de futebol é a ola mexicana. Os espectadores de uma linha, sem sair do lugar e sem se deslocarem lateralmente, ficam de pé e se sentam, sincronizados com os da linha adjacente. O efeito coletivo se propaga pelos espectadores do estádio, formando uma onda progressiva, conforme ilustração. Calcula-se que a velocidade de propagação dessa “onda humana” é 45 km/h, e que cada período de oscilação contém 16 pessoas, que se levantam e se sentam organizadamente e distanciadas entre si por 80 cm. Disponível em: www.ufsm.br. Acesso em: 7 dez. 2012 (adaptado). Nessa ola mexicana, a frequência da onda, em hertz, é um valor mais próximo de",c,enem_2013-1,2013,enem,"0,3.","0,5.","1,0.","1,9.","3,7."
ita_2022_q_59,59,Biologia,"Considere as seguintes afirmações sobre os aminoácidos:
I. Os aminoácidos são pequenas moléculas com propriedades bioquímicas únicas determinadas por seus grupos funcionais.
II. Os aminoácidos em pH fisiológico (~7,4) apresentam os grupamentos amina protonados, enquanto os grupos carboxílicos assumem sua forma de base conjugada.
III. Os aminoácidos podem se polimerizar por meio de reações de adição para formar as ligações peptídicas (CO-NH).
IV. As variações no comprimento e sequência de aminoácidos de polipeptídios são características que contribuem para a diversidade na forma e nas funções biológicas das proteínas.
V. Todos os aminoácidos obtidos de polipeptídios são opticamente ativos, isto é, eles desviam o plano da luz polarizada.
Assinale a alternativa que apresenta as afirmações CORRETAS.",a,ita_2022,2022,ita,"Apenas I, II e IV","Apenas I, II, IV e V","Apenas I, III e V","Apenas I, III, IV e V",Todas
unicamp_2021_q_71,71,Geografia,"Os mapas temáticos são elaborados com a utilização de técnicas que objetivam a melhor visualização e comunicação, distinguindo-se essencialmente dos topográficos, que representam fenômenos de qualquer natureza, geograficamente distribuídos sobre a superfície terrestre. O nível de organização dos dados, qualitativos, ordenados ou quantitativos, de um mapa está diretamente relacionado ao método de mapeamento e à utilização de variáveis visuais adequadas à sua representação.

Os mapas temáticos anteriores mostram o cenário brasileiro da pandemia em 7 de julho de 2020. O mapa 1 apresenta o número de casos confirmados de Covid19 por ente federativo e o mapa 2, a taxa de incidência da Covid19 por Estado brasileiro. No que se refere à análise dos dados representados nos mapas, é correto afirmar:",c,unicamp_2021,2021,unicamp,"O objetivo do mapa 1 é apresentar os dados de forma quantitativa, enquanto o mapa 2 prioriza uma apresentação qualitativa dos dados.",Os mapas 1 e 2 apresentam dados absolutos qualitativos referentes à Covid19 obtidos em órgãos oficiais do governo federal.,"O mapa 1 apresenta os dados absolutos dos casos confirmados de Covid19, enquanto o mapa 2 apresenta a proporção de casos por milhão de habitantes.","Os mapas 1 e 2 apresentam dados proporcionais referentes à Covid19, pois não é possível apresentar com exatidão dados da área de saúde.",
enem_2017-1_q_78,78,História,"Durante o Estado Novo, os encarregados da propaganda procuraram aperfeiçoar-se na arte da empolgação e envolvimento das “multidões” através das mensagens políticas. Nesse tipo de discurso, o significado das palavras importa pouco, pois, como declarou Goebbels, “não falamos para dizer alguma coisa, mas para obter determinado efeito”. CAPELATO, M. H. Propaganda política e controle dos meios de comunicação. In: PANDOLFI, D. (Org.). Repensando o Estado Novo. Rio de Janeiro: FGV, 1999. O controle sobre os meios de comunicação foi uma marca do Estado Novo, sendo fundamental à propaganda política, na medida em que visava",a,enem_2017-1,2017,enem,conquistar o apoio popular na legitimação do novo governo.,ampliar o envolvimento das multidões nas decisões políticas.,aumentar a oferta de informações públicas para a sociedade civil.,estender a participação democrática dos meios de comunicação no Brasil.,alargar o entendimento da população sobre as intenções do novo governo.
enem_2015-2_q_133,133,Português,"Situado na vigência do Regime Militar que governou o Brasil, na década de 1970, o poema de Cacaso edifica uma forma de resistência e protesto a esse período, metaforizando",d,enem_2015-2,2015,enem,"as artes plásticas, deturpadas pela repressão e censura.","a natureza brasileira, agonizante como um pássaro enjaulado.","o nacionalismo romântico, silenciado pela perplexidade com a Ditadura.","o emblema nacional, transfigurado pelas marcas do medo e da violência.","as riquezas da terra, espoliadas durante o aparelhamento do poder armado."
unicamp_2018_q_56,56,Biologia,"Fósseis do organismo Spriggina (em vista dorsal na figura a seguir), que viveu há 550 milhões de anos, foram descobertos nas montanhas de Ediacara, na Austrália. Tais fósseis estão entre os mais antigos vestígios de seres multicelulares já encontrados. Esse animal primitivo, cuja classificação desafia os pesquisadores, possui algumas características ainda encontradas na maioria dos animais existentes hoje. Esse animal apresenta",a,unicamp_2018,2018,unicamp,"simetria bilateral, com eixo ântero-posterior bem definido, características não encontradas em cnidários, poríferos e equinodermos.","simetria radial, com eixo dorsoventral bem definido, características não encontradas em cnidários, moluscos e equinodermos.","simetria dorsoventral, com eixo ântero-posterior bem definido, características não encontradas em cordados, poríferos e cnidários.","simetria pentarradial, com eixo dorsoventral bem definido, características não encontradas em cnidários, cordados e equinodermos.",
exams_pt-br_fuvest_2012_q_3,3,Sociologia,"Ainda no começo do século 20, Euclides da Cunha, em pequeno estudo, discorria sobre os meios de sujeição dos trabalhadores nos seringais da Amazônia, no chamado regime de peonagem, a escravidão por dívida. Algo próximo do que foi constatado em São Paulo nestes dias [agosto de 2011] envolvendo duas oficinas terceirizadas de produção de vestuário. José de Souza Martins, 2011. Adaptado.

No texto acima, o autor faz menção à presença de regime de trabalho análogo à escravidão, na indústria de bens",d,exams_pt-br_fuvest_2012,2012,fuvest,"de consumo não duráveis, com a contratação de imigrantes asiáticos, destacando-se coreanos e chineses.","de consumo duráveis, com a superexploração, por meio de empresas de pequeno porte, de imigrantes chilenos e bolivianos.","intermediários, com a contratação prioritária de imigrantes asiáticos, destacando-se coreanos e chineses.","de consumo não duráveis, com a superexploração, principalmente, de imigrantes bolivianos e peruanos.","de produção, com a contratação majoritária, por meio de empresas de médio porte, de imigrantes peruanos e colombianos."
exams_pt-br_fuvest_1983_q_90,90,Matemática,A equação x² - x - 2 = 0 possui quais soluções?,e,exams_pt-br_fuvest_1983,1983,fuvest,-1 e 1,0 e 2,-1 e 0,1 e -3,-1 e 2
enem_2010-1_q_83,83,Física,"Durante uma obra em um clube, um grupo de trabalhadores teve de remover uma escultura de ferro maciço colocada no fundo de uma piscina vazia. Cinco trabalhadores amarraram cordas à escultura e tentaram puxá-la para cima, sem sucesso. Se a piscina for preenchida com água, ficará mais fácil para os trabalhadores removerem a escultura, pois a escultura flutuará. Dessa forma, os homens não precisarão fazer força para remover a escultura do fundo.",e,enem_2010-1,2010,enem,"escultura flutuará. Dessa forma, os homens não precisarão fazer força para remover a escultura do fundo.","escultura ficará com peso menor. Dessa forma, a intensidade da força necessária para elevar a escultura será menor.","água exercerá uma força na escultura proporcional a sua massa, e para cima. Esta força se somará à força que os trabalhadores fazem para anular a ação da força peso da escultura.","água exercerá uma força na escultura para baixo, e esta passará a receber uma força ascendente do piso da piscina. Esta força ajudará a anular a ação da força peso na escultura.","água exercerá uma força na escultura proporcional ao seu volume, e para cima. Esta força se somará à força que os trabalhadores fazem, podendo resultar em uma força ascendente maior que o peso da escultura."
exams_pt-br_fuvest_1988_q_61,61,História,Democracia e imperialismo apresentam duas faces da mesma moeda na história do século XX. Assinale a alternativa que corretamente reflete essa dualidade:,a,exams_pt-br_fuvest_1988,1988,fuvest,"Correta, já que a pós-positividade proporcionou processos provenientes das regiões subnacionais, beneficiando os cidadãos atenienses em tempo necessário para uma valorização política na vida pública, promovendo a falsa democracia.","Falsa, pois as contradições internas levaram à opressão política nas Guerras Peloponésicas.","Correta, pois foi o desejo de manter a hegemonia e estender a democracia a todas as cidades, o que levou os atenenses a se oporem ao imperialismo espanhol.","Falsa, já que o orgulho pelo sistema político simplista fez com que Atenas permanecesse fechada sobre seu sistema, desprezando concorrentes e outras cidades.","Correta, se aplicada exclusivamente ao período das Guerras Púnicas contra Esparta e sua liga aristocrática."
exams_pt-br_fuvest_1990_q_56,56,Geografia,A divisão do território apresentando áreas de água se classifica como:,c,exams_pt-br_fuvest_1990,1990,fuvest,Clima.,Relevo.,Hidrografia.,Regiões geográficas.,Vegetação.
ita_2017-fisica_q_16,16,Física,"Com os motores desligados, uma nave executa uma trajetória circular com período de 5 400 s próxima à superfície do planeta em que orbita. Assinale a massa específica média desse planeta.",d,ita_2017-fisica,2024,ita,"1,0 g/cm3","1,8 g/cm3","2,4 g/cm3","4,8 g/cm3","20,0 g/cm"
exams_pt-br_fuvest_2004_q_45,45,Geografia,"O aumento do número de mortes de soldados das forças de ocupação do Iraque, mesmo após o anúncio do final da guerra pelo governo dos Estados Unidos, deve-se à",b,exams_pt-br_fuvest_2004,2004,fuvest,"participação tardia da Rússia, que procurou salvaguardar seus interesses geopolíticos na região.","reação da população iraquiana, que não aceita a presença de estrangeiros no país.",redução do efetivo militar norte-americano para cortar as despesas com a ocupação.,"ação da inteligência norte-americana, que conseguiu isolar os dirigentes procurados, sem destruir as cidades.",maior vulnerabilidade da população em função da ausência de governo local.
exams_pt-br_fuvest_2025_q_13,13,História,"As formas de colonização ibérica e inglesa na América foram, durante muito tempo, consideradas processos isolados, estruturados em dois modelos opostos: as colônias de exploração e as de povoamento, respectivamente. No entanto, elas constituíram um emaranhado de experiências compartilhadas pelos impérios atlânticos. Os aspectos comuns a essas formas de colonização foram a",b,exams_pt-br_fuvest_2025,2025,fuvest,"partida dos colonizadores da metrópole, da qual saíram por fatores religiosos, e a adoção do trabalho livre como base da produção.",dominação e a exploração dos povos originários e o emprego sistemático do trabalho forçado dessas populações.,introdução de colonos sem interesse na ocupação demográfica e o objetivo exclusivo da extração de riquezas minerais.,produção local organizada em pequenas propriedades e a utilização primordial da força de trabalho familiar.,falta de interesse metropolitano pela exploração comercial e a inexistência de benefícios financeiros para a metrópole.
enem_2011-2_q_130,130,Biologia,"MANDIOCA – mais um presente da Amazônia
Aipim, castelinha, macaxeira, maniva, maniveira. As
designações da Manihot utilissima podem variar de região,
no Brasil, mas uma delas deve ser levada em conta em todo
o território nacional: pão-de-pobre – e por motivos óbvios.
Rica em fécula, a mandioca — uma planta rústica e nativa
da Amazônia disseminada no mundo inteiro, especialmente
pelos colonizadores portugueses — é a base de sustento de
muitos brasileiros e o único alimento disponível para mais de
600 milhões de pessoas em vários pontos do planeta, e em
particular em algumas regiões da África. O melhor do Globo Rural. Fev. 2005 (fragmento).
De acordo com o texto, há no Brasil uma variedade de
nomes para a Manihot utilissima, nome científico da
mandioca. Esse fenômeno revela que",a,enem_2011-2,2011,enem,existem variedades regionais para nomear uma mesma espécie de planta.,mandioca é nome específico para a espécie existente na região amazônica.,“pão-de-pobre” é designação específica para a planta da região amazônica.,"os nomes designam espécies diferentes da planta, conforme a região.",a planta é nomeada conforme as particularidades que apresenta.
enem_2023-2_q_125,125,Física,"A utilização de tecnologia nuclear é um tema bastante controverso, por causa do risco de acidentes graves, como aqueles ocorridos em Chernobyl (1986), em Goiânia (1987) e em Fukushima (2011). Apesar de muitas desvantagens, como a geração de resíduos tóxicos, a descontaminação ambiental dispendiosa em caso de acidentes e a utilização em armas nucleares, a geração de energia nuclear apresenta vantagens em comparação a outras fontes de energia.
A geração dessa energia tem como característica:",e,enem_2023-2,2023,enem,Formar resíduos facilmente recicláveis.,Promover o aumento do desmatamento.,Contribuir para a produção de chuva ácida.,Emitir gases tóxicos que são lançados no ambiente.,Produzir calor sem o consumo de combustíveis fósseis.
enem_2020-2_q_165,165,Matemática,"Uma torneira está gotejando água em um balde com capacidade de 18 litros. No instante atual, o balde se encontra com ocupação de 50% de sua capacidade. A cada segundo caem 5 gotas de água da torneira, e uma gota é formada, em média, por 5 × 10^{-2} mL de água. Quanto tempo, em hora, será necessário para encher completamente o balde, partindo do instante atual?",b,enem_2020-2,2020,enem,2 × 10^1,1 × 10^1,2 × 10^{-2},1 × 10^{-2},1 × 10^{-3}
unicamp_2014_q_26,26,Química,"O uso industrial do cloreto de sódio se dá principalmente no processo de obtenção de alguns importantes produtos de sua eletrólise em meio aquoso. Simplificadamente, esse processo é feito pela passagem de uma corrente elétrica em uma solução aquosa desse sal. Pode-se afirmar que, a partir desse processo, seriam obtidos:",b,unicamp_2014,2014,unicamp,"gás hidrogênio, gás oxigênio e ácido clorídrico.","gás hidrogênio, gás cloro e hidróxido de sódio em solução.","gás hidrogênio, gás cloro e ácido clorídrico.","gás hidrogênio, gás oxigênio e hidróxido de sódio em solução.",
unicamp_2019_q_56,56,Química,"Raros são os cientistas que se dedicam a medir um único fenômeno. Mais raro ainda são aqueles que alteram o comportamento da humanidade com suas medições. O norte-americano Charles D. Keeling passou a vida medindo a quantidade de CO2 existente na atmosfera, demonstrando que a quantidade desse gás está aumentando. Em 1958, muito antes do surgimento dos movimentos ecológicos, Keeling desconfiou de que esse efeito era devido à queima de combustíveis fósseis. Na última década, a hipótese de Keeling foi testada pela análise de bolhas de ar retidas no gelo polar, revelando que a concentração de CO2 permaneceu inalterada por milênios, aumentando a partir do século XIX.
(Adaptado de Fernando Reinach, A longa marcha dos grilos canibais. São Paulo: Companhia das Letras, 2010, p. 41 - 42.)
Os experimentos com as bolhas de ar do gelo polar indicam que a elevação das emissões de CO2",b,unicamp_2019,2019,unicamp,"é diretamente proporcional à utilização crescente de petróleo (plantas fossilizadas) nos Estados Unidos e na China no século XIX, o que propiciou o desenvolvimento de novos equipamentos, tecnologias e organizações no mundo do trabalho.","está correlacionada com a utilização crescente de carvão mineral (plantas fossilizadas) durante a Revolução Industrial, que propiciou o uso da energia a vapor e o desenvolvimento de máquinas, levando à produção em larga escala.","está associada à utilização crescente de petróleo (micro-organismos fossilizados) desde os primórdios da Revolução Industrial, caracterizada pelo uso de máquinas para a produção em larga escala e novas organizações trabalhistas.","é diretamente proporcional à utilização decrescente de biodiesel (micro-organismos fossilizados) na Inglaterra durante a Revolução Industrial, quando esse país adotou uma matriz energética baseada no consumo de petróleo para fomentar sua economia protecionista.",
unicamp_2016_q_85,85,Inglês,"The Future of Food
SCENARIO PLANNING TRAINING
In 2030...
What will we eat?
 Where will our food come from?
Will we all have enough?
Using the global system as a backdrop, expert scenario practitioners will help you apply the methodology that systematically imagines multiple futures and their risks and opportunities
START ONLINE, THEN COME TO STANFORD UNIVERSITY
Application deadline AUGUST 3, 2015
Online content opens August 10, 2015
Onsite Immersion at Stanford Sept.28-Oct.1, 2015
Apply now at WORLDVIEW.STANFORD.EDU
SPACE LIMITED TO 32 PARTICIPANTS
(Adaptado de Stanford Magazine, July/August 2015, p.3.)
O texto anuncia um",c,unicamp_2016,2016,unicamp,curso on-line e presencial que oferece uma metodologia para ajudar a definir quais alimentos deverão ser consumidos no futuro.,curso on-line que oferece uma metodologia para minimizar riscos no consumo de alimentos no futuro.,curso on-line e presencial que oferece uma metodologia para construção de cenários futuros sobre consumo de alimentos.,curso presencial que oferece uma metodologia para ajudar as pessoas a comerem melhor no futuro.,
unicamp_2015_q_19,19,Biologia,"Nos porões dos navios vindos do Oriente no século XIV, chegavam milhares de ratos à Europa, onde encontravam um ambiente favorável, dadas as condições precárias de higiene. Esses ratos estavam contaminados e suas pulgas transmitiam um agente etiológico aos homens através da picada. Os ratos também morriam da doença e, quando isto acontecia, as pulgas passavam rapidamente para os humanos, para obterem seu alimento, o sangue. Qual é o agente etiológico e qual é o nome popular dessa doença?",b,unicamp_2015,2015,unicamp,"Vírus, peste bubônica.","Bactéria, peste bubônica.","Vírus, leptospirose.","Bactéria, leptospirose.",
enem_2020-2_q_92,92,Física,"As panelas de pressão reduzem o tempo de cozimento dos alimentos por elevar a temperatura de ebulição da água. Os usuários conhecedores do utensílio normalmente abaixam a intensidade do fogo em panelas de pressão após estas iniciarem a saída dos vapores. Ao abaixar o fogo, reduz-se a chama, pois assim evita-se o(a)",e,enem_2020-2,2020,enem,aumento da pressão interna e os riscos de explosão.,dilatação da panela e a desconexão com sua tampa.,perda da qualidade nutritiva do alimento.,deformação da borracha de vedação.,consumo de gás desnecessário.
exams_pt-br_fuvest_1992_q_43,43,Biologia,"43. Um antibiótico que atua nos ribossomos natà

a) bactérias por interferir na síntese de proteínas
b) bactérias por provocar plasmólise.
c) fungos por interferir na Síntese de lipídios,
d) vírus por alterar DNA.
e) vírus por impedir recombinação gênica.",a,exams_pt-br_fuvest_1992,1992,fuvest,bactérias por interferir na síntese de proteínas,bactérias por provocar plasmólise.,"fungos por interferir na Síntese de lipídios,",vírus por alterar DNA.,vírus por impedir recombinação gênica.
